id,category,value,text_data
3,C,1602,x
6,C,1165,x
7,D,1364,x
8,C,1170,x
11,D,1398,x
13,C,1439,x
14,D,1309,x
15,B,1368,x
16,B,1224,x
17,C,1177,x
19,A,1239,x
24,A,1136,x
25,D,1866,x
26,D,1023,x
27,B,1451,x
33,B,1074,x
36,A,1534,x
38,C,1377,x
40,C,1623,x
45,D,1827,x
47,D,1511,x
48,D,1944,x
49,D,1280,x
50,D,1644,x
51,D,1941,x
53,D,1218,x
59,C,1277,x
62,D,1877,x
64,D,1652,x
66,D,1370,x
67,D,1986,x
68,C,1255,x
69,C,1687,x
73,A,1760,x
76,A,1348,x
78,B,1530,x
79,C,1797,x
82,A,1974,x
83,C,1047,x
84,C,1836,x
89,B,1992,x
90,B,1437,x
91,A,1830,x
92,B,1223,x
95,C,1985,x
97,A,1086,x
108,B,1109,x
110,D,1549,x
111,A,1791,x
112,C,1427,x
116,C,1589,x
117,D,1564,x
118,A,1654,x
121,C,1058,x
123,D,1622,x
128,A,1023,x
130,D,1990,x
133,A,1159,x
139,A,1803,x
140,B,1149,x
141,D,1224,x
143,C,1941,x
144,B,1455,x
148,D,1898,x
150,B,1303,x
151,D,1527,x
153,D,1597,x
155,C,1609,x
157,B,1492,x
159,D,1861,x
160,B,1606,x
161,D,1229,x
162,C,1009,x
165,A,1775,x
166,B,1493,x
169,C,1891,x
174,B,1391,x
175,C,1994,x
176,A,1887,x
177,A,1936,x
179,A,1719,x
183,B,1895,x
184,A,1419,x
190,B,1206,x
191,D,1446,x
193,C,1038,x
196,D,1147,x
197,A,1580,x
198,C,1951,x
201,B,1576,x
202,D,1765,x
204,C,1047,x
207,D,1978,x
211,B,1393,x
212,C,1787,x
214,A,1304,x
215,C,1322,x
216,C,1074,x
217,A,1725,x
220,A,1081,x
222,A,1401,x
224,B,1721,x
225,C,1997,x
227,A,1743,x
228,B,1664,x
229,D,1396,x
235,D,1307,x
237,A,1324,x
241,C,1049,x
243,B,1386,x
244,C,1898,x
246,C,1496,x
251,D,1115,x
252,C,1544,x
255,A,1752,x
256,C,1554,x
259,B,1693,x
260,D,1821,x
261,B,1606,x
266,D,1866,x
268,C,1695,x
271,D,1808,x
272,C,1777,x
274,B,1682,x
278,B,1643,x
282,B,1414,x
285,C,1693,x
293,A,1094,x
295,A,1270,x
297,B,1568,x
300,A,1983,x
301,C,1819,x
303,C,1569,x
305,C,1954,x
306,B,1672,x
307,D,1695,x
308,B,1115,x
309,C,1927,x
310,A,1617,x
311,A,1903,x
313,B,1167,x
314,B,1999,x
315,B,1505,x
316,D,1860,x
317,C,1233,x
318,A,1714,x
319,C,1767,x
320,D,1879,x
322,C,1442,x
325,C,1385,x
329,A,1316,x
331,A,1593,x
334,A,1159,x
336,C,1228,x
337,B,1219,x
341,A,1376,x
342,A,1558,x
344,D,1429,x
345,A,1542,x
347,B,1224,x
349,D,1591,x
350,C,1079,x
352,B,1199,x
354,C,1401,x
355,C,1683,x
356,A,1208,x
357,A,1780,x
358,D,1932,x
361,D,1690,x
367,A,1668,x
368,A,1419,x
369,C,1665,x
371,B,1986,x
373,A,1861,x
374,A,1458,x
380,A,1067,x
381,B,1090,x
382,B,1001,x
384,D,1080,x
385,D,1898,x
386,D,1695,x
387,A,1347,x
388,B,1406,x
390,C,1029,x
391,C,1214,x
395,C,1991,x
396,D,1575,x
399,A,1662,x
405,A,1962,x
406,D,1885,x
407,C,1451,x
410,C,1426,x
415,B,1048,x
417,D,1159,x
421,A,1237,x
423,A,1161,x
424,A,1347,x
