id,category,value,text_data
0,B,8,x
1,B,796,x
2,D,925,x
3,C,1602,x
4,C,127,x
5,A,567,x
6,C,1165,x
7,D,1364,x
8,C,1170,x
9,A,350,x
10,B,714,x
11,D,1398,x
12,D,577,x
13,C,1439,x
14,D,1309,x
15,B,1368,x
16,B,1224,x
17,C,1177,x
18,D,968,x
19,A,1239,x
20,B,268,x
21,B,496,x
22,D,198,x
23,D,814,x
24,A,1136,x
25,D,1866,x
26,D,1023,x
27,B,1451,x
28,C,597,x
29,A,543,x
30,B,359,x
31,C,51,x
32,A,899,x
33,B,1074,x
34,D,195,x
35,B,75,x
36,A,1534,x
37,B,907,x
38,C,1377,x
39,C,775,x
40,C,1623,x
41,B,960,x
42,D,784,x
43,D,812,x
44,B,92,x
45,D,1827,x
46,A,897,x
47,D,1511,x
48,D,1944,x
49,D,1280,x
50,D,1644,x
51,D,1941,x
52,C,509,x
53,D,1218,x
54,D,309,x
55,D,317,x
56,D,713,x
57,B,550,x
58,C,577,x
59,C,1277,x
60,C,690,x
61,D,345,x
62,D,1877,x
63,C,165,x
64,D,1652,x
65,A,651,x
66,D,1370,x
67,D,1986,x
68,C,1255,x
69,C,1687,x
70,C,876,x
71,A,593,x
72,C,29,x
73,A,1760,x
74,D,157,x
75,D,762,x
76,A,1348,x
77,B,443,x
78,B,1530,x
79,C,1797,x
80,B,749,x
81,D,986,x
82,A,1974,x
83,C,1047,x
84,C,1836,x
85,A,671,x
86,A,6,x
87,D,264,x
88,B,462,x
89,B,1992,x
90,B,1437,x
91,A,1830,x
92,B,1223,x
93,A,333,x
94,A,188,x
95,C,1985,x
96,D,315,x
97,A,1086,x
98,B,877,x
99,C,968,x
100,C,641,x
101,D,780,x
102,B,103,x
103,B,939,x
104,C,262,x
105,D,732,x
106,C,205,x
107,C,922,x
108,B,1109,x
109,A,251,x
110,D,1549,x
111,A,1791,x
112,C,1427,x
113,C,240,x
114,C,364,x
115,C,591,x
116,C,1589,x
117,D,1564,x
118,A,1654,x
119,C,53,x
120,C,555,x
121,C,1058,x
122,C,864,x
123,D,1622,x
124,C,408,x
125,C,865,x
126,B,626,x
127,D,847,x
128,A,1023,x
129,B,827,x
130,D,1990,x
131,B,592,x
132,B,494,x
133,A,1159,x
134,A,702,x
135,A,541,x
136,D,494,x
137,C,799,x
138,C,712,x
139,A,1803,x
140,B,1149,x
141,D,1224,x
142,D,584,x
143,C,1941,x
144,B,1455,x
145,A,659,x
146,C,364,x
147,C,911,x
148,D,1898,x
149,C,836,x
150,B,1303,x
151,D,1527,x
152,A,861,x
153,D,1597,x
154,C,741,x
155,C,1609,x
156,D,471,x
157,B,1492,x
158,C,230,x
159,D,1861,x
160,B,1606,x
161,D,1229,x
162,C,1009,x
163,B,347,x
164,C,648,x
165,A,1775,x
166,B,1493,x
167,D,764,x
168,C,17,x
169,C,1891,x
170,B,336,x
171,B,851,x
172,B,2,x
173,A,453,x
174,B,1391,x
175,C,1994,x
176,A,1887,x
177,A,1936,x
178,A,937,x
179,A,1719,x
180,A,375,x
181,A,675,x
182,D,202,x
183,B,1895,x
184,A,1419,x
185,C,305,x
186,C,989,x
187,B,771,x
188,A,763,x
189,D,188,x
190,B,1206,x
191,D,1446,x
192,D,62,x
193,C,1038,x
194,B,111,x
195,B,239,x
196,D,1147,x
197,A,1580,x
198,C,1951,x
199,B,823,x
200,D,142,x
201,B,1576,x
202,D,1765,x
203,B,215,x
204,C,1047,x
205,B,310,x
206,A,401,x
207,D,1978,x
208,B,823,x
209,A,667,x
210,B,120,x
211,B,1393,x
212,C,1787,x
213,B,151,x
214,A,1304,x
215,C,1322,x
216,C,1074,x
217,A,1725,x
218,A,547,x
219,A,360,x
220,A,1081,x
221,B,176,x
222,A,1401,x
223,A,497,x
224,B,1721,x
225,C,1997,x
226,B,573,x
227,A,1743,x
228,B,1664,x
229,D,1396,x
230,C,524,x
231,D,340,x
232,D,773,x
233,C,358,x
234,C,31,x
235,D,1307,x
236,A,901,x
237,A,1324,x
238,B,725,x
239,D,320,x
240,D,482,x
241,C,1049,x
242,A,230,x
243,B,1386,x
244,C,1898,x
245,A,995,x
246,C,1496,x
247,D,354,x
248,B,675,x
249,B,561,x
250,D,269,x
251,D,1115,x
252,C,1544,x
253,D,327,x
254,B,414,x
255,A,1752,x
256,C,1554,x
257,B,740,x
258,B,219,x
259,B,1693,x
260,D,1821,x
261,B,1606,x
262,D,730,x
263,C,109,x
264,A,895,x
265,C,137,x
266,D,1866,x
267,B,630,x
268,C,1695,x
269,B,494,x
270,C,566,x
271,D,1808,x
272,C,1777,x
273,C,623,x
274,B,1682,x
275,D,788,x
276,D,824,x
277,B,862,x
278,B,1643,x
279,D,980,x
280,C,430,x
281,A,481,x
282,B,1414,x
283,C,35,x
284,D,443,x
285,C,1693,x
286,C,761,x
287,C,940,x
288,D,430,x
289,A,83,x
290,A,361,x
291,C,71,x
292,B,706,x
293,A,1094,x
294,A,93,x
295,A,1270,x
296,D,631,x
297,B,1568,x
298,D,96,x
299,C,674,x
300,A,1983,x
301,C,1819,x
302,A,196,x
303,C,1569,x
304,C,183,x
305,C,1954,x
306,B,1672,x
307,D,1695,x
308,B,1115,x
309,C,1927,x
310,A,1617,x
311,A,1903,x
312,B,198,x
313,B,1167,x
314,B,1999,x
315,B,1505,x
316,D,1860,x
317,C,1233,x
318,A,1714,x
319,C,1767,x
320,D,1879,x
321,B,883,x
322,C,1442,x
323,D,533,x
324,D,991,x
325,C,1385,x
326,A,136,x
327,D,392,x
328,B,864,x
329,A,1316,x
330,C,299,x
331,A,1593,x
332,A,124,x
333,C,368,x
334,A,1159,x
335,D,115,x
336,C,1228,x
337,B,1219,x
338,B,126,x
339,A,826,x
340,D,653,x
341,A,1376,x
342,A,1558,x
343,A,917,x
344,D,1429,x
345,A,1542,x
346,C,266,x
347,B,1224,x
348,C,830,x
349,D,1591,x
350,C,1079,x
351,A,195,x
352,B,1199,x
353,C,996,x
354,C,1401,x
355,C,1683,x
356,A,1208,x
357,A,1780,x
358,D,1932,x
359,A,321,x
360,C,21,x
361,D,1690,x
362,B,532,x
363,A,559,x
364,C,918,x
365,B,606,x
366,A,734,x
367,A,1668,x
368,A,1419,x
369,C,1665,x
370,A,641,x
371,B,1986,x
372,C,600,x
373,A,1861,x
374,A,1458,x
375,B,71,x
376,D,576,x
377,C,217,x
378,D,481,x
379,B,944,x
380,A,1067,x
381,B,1090,x
382,B,1001,x
383,D,87,x
384,D,1080,x
385,D,1898,x
386,D,1695,x
387,A,1347,x
388,B,1406,x
389,A,538,x
390,C,1029,x
391,C,1214,x
392,D,281,x
393,B,56,x
394,D,176,x
395,C,1991,x
396,D,1575,x
397,C,804,x
398,D,777,x
399,A,1662,x
400,B,784,x
401,D,845,x
402,C,433,x
403,C,59,x
404,C,338,x
405,A,1962,x
406,D,1885,x
407,C,1451,x
408,A,795,x
409,B,292,x
410,C,1426,x
411,B,387,x
412,D,745,x
413,D,564,x
414,C,105,x
415,B,1048,x
416,B,133,x
417,D,1159,x
418,B,988,x
419,B,632,x
420,B,257,x
421,A,1237,x
422,B,130,x
423,A,1161,x
424,A,1347,x
425,A,118,x
426,B,247,x
427,C,1770,x
428,C,1019,x
429,C,1620,x
430,D,1555,x
431,D,1762,x
432,A,1210,x
433,C,43,x
434,C,1934,x
435,D,31,x
436,A,1098,x
437,D,939,x
438,B,1427,x
439,B,1940,x
440,C,1178,x
441,B,1058,x
442,C,780,x
443,B,537,x
444,A,347,x
445,A,402,x
446,C,317,x
447,C,277,x
448,D,74,x
449,A,1202,x
450,D,1378,x
451,B,1949,x
452,A,1976,x
453,B,1257,x
454,B,1124,x
455,B,638,x
456,D,1780,x
457,D,948,x
458,A,1049,x
459,A,1227,x
460,D,533,x
461,D,75,x
462,C,919,x
463,A,1339,x
464,A,1076,x
465,A,1750,x
466,D,26,x
467,A,432,x
468,B,168,x
469,D,314,x
470,B,46,x
471,A,1842,x
472,C,1380,x
473,C,141,x
474,C,1075,x
475,B,1923,x
476,A,733,x
477,C,570,x
478,A,1924,x
479,D,1147,x
480,A,1909,x
481,B,83,x
482,D,1587,x
483,D,751,x
484,C,1405,x
485,A,281,x
486,D,23,x
487,B,121,x
488,A,1302,x
489,C,1844,x
490,C,1485,x
491,D,708,x
492,A,1694,x
493,C,1509,x
494,C,973,x
495,D,791,x
496,A,1774,x
497,D,1906,x
498,D,528,x
499,A,967,x
500,C,1186,x
501,A,38,x
502,C,939,x
503,D,536,x
504,B,541,x
505,C,371,x
506,A,1846,x
507,D,1598,x
508,A,916,x
509,A,1971,x
510,C,1361,x
511,A,59,x
512,D,1114,x
513,D,1051,x
514,C,1933,x
515,B,267,x
516,A,1169,x
517,B,1851,x
518,B,1639,x
519,C,1763,x
520,C,374,x
521,D,1690,x
522,A,1505,x
523,C,1262,x
524,B,1555,x
525,C,1029,x
526,A,8,x
527,C,1624,x
528,B,1633,x
529,A,652,x
530,B,680,x
531,B,1545,x
532,B,245,x
533,C,261,x
534,A,680,x
535,C,413,x
536,B,1815,x
537,C,478,x
538,A,1159,x
539,A,797,x
540,B,345,x
541,B,1691,x
542,C,1472,x
543,B,821,x
544,C,1190,x
545,D,296,x
546,A,1951,x
547,D,550,x
548,C,1457,x
549,B,400,x
550,A,1983,x
551,C,1219,x
552,D,739,x
553,A,401,x
554,A,1010,x
555,A,1265,x
556,B,534,x
557,B,631,x
558,D,1974,x
559,B,1135,x
560,B,227,x
561,B,1475,x
562,C,1897,x
563,B,348,x
564,C,1196,x
565,C,976,x
566,C,464,x
567,D,749,x
568,D,327,x
569,C,1226,x
570,B,633,x
571,D,1795,x
572,D,318,x
573,B,565,x
574,C,455,x
575,C,1903,x
576,B,1407,x
577,A,1617,x
578,B,1120,x
579,D,1378,x
580,A,1638,x
581,A,840,x
582,C,749,x
583,B,499,x
584,D,601,x
585,A,975,x
586,B,1557,x
587,D,1938,x
588,B,1080,x
589,B,1518,x
590,B,30,x
591,B,1804,x
592,C,1072,x
593,A,719,x
594,A,1445,x
595,D,454,x
596,C,1469,x
597,A,686,x
598,A,834,x
599,A,641,x
600,C,1668,x
601,B,1267,x
602,A,270,x
603,C,466,x
604,D,1927,x
605,A,69,x
606,B,1630,x
607,D,1383,x
608,B,1691,x
609,C,1343,x
610,D,1743,x
611,B,587,x
612,A,263,x
613,D,1970,x
614,C,676,x
615,A,795,x
616,B,699,x
617,C,573,x
618,A,534,x
619,A,1445,x
620,D,185,x
621,B,990,x
622,D,495,x
623,D,1290,x
624,C,772,x
625,A,361,x
626,B,744,x
627,B,793,x
628,B,650,x
629,A,1421,x
630,B,1760,x
631,C,652,x
632,D,1597,x
633,D,1414,x
634,D,1581,x
635,D,1997,x
636,C,1451,x
637,B,580,x
638,B,47,x
639,A,1419,x
640,B,1642,x
641,B,1332,x
642,B,453,x
643,B,839,x
644,D,247,x
645,B,264,x
646,D,1153,x
647,B,964,x
648,A,695,x
649,D,1493,x
650,A,1735,x
651,C,1627,x
652,D,1471,x
653,C,1382,x
654,C,963,x
655,C,1664,x
656,D,416,x
657,B,589,x
658,B,116,x
659,D,118,x
660,D,1284,x
661,D,34,x
662,C,965,x
663,A,1936,x
664,A,1624,x
665,A,1693,x
666,B,1135,x
667,C,318,x
668,D,1764,x
669,D,1943,x
670,C,1646,x
671,B,173,x
672,B,1460,x
673,A,278,x
674,B,335,x
675,C,1920,x
676,C,180,x
677,A,1070,x
678,C,329,x
679,C,1061,x
680,C,863,x
681,A,546,x
682,C,509,x
683,C,1955,x
684,D,429,x
685,A,56,x
686,B,59,x
687,D,539,x
688,D,644,x
