category,sales,transaction_id
C3,419,0
C0,294,1
C1,458,2
C0,136,3
C4,419,4
C4,206,5
C1,301,6
C2,68,7
C4,376,8
C0,361,9
C2,63,10
C2,185,11
C1,346,12
C2,202,13
C0,191,14
C4,318,15
C4,209,16
C0,416,17
C0,455,18
C3,69,19
C0,334,20
C3,224,21
C2,465,22
C0,192,23
C2,329,24
C4,181,25
C2,253,26
C0,314,27
C3,431,28
C4,112,29
C0,314,30
C2,461,31
C3,149,32
C1,302,33
C2,129,34
C2,406,35
C0,125,36
C4,112,37
C1,322,38
C2,382,39
C3,95,40
C4,440,41
C2,109,42
C1,304,43
C1,359,44
C4,459,45
C4,83,46
C2,401,47
C0,235,48
C0,470,49
C2,296,50
C0,466,51
C1,362,52
C0,171,53
C2,445,54
C4,78,55
C4,308,56
C2,92,57
C0,107,58
C3,229,59
C4,410,60
C0,340,61
C2,181,62
C3,143,63
C1,486,64
C1,313,65
C4,342,66
C1,225,67
C1,108,68
C3,420,69
C4,240,70
C2,61,71
C2,90,72
C2,232,73
C0,239,74
C2,324,75
C4,84,76
C3,72,77
C0,395,78
C4,495,79
C0,105,80
C1,456,81
C1,497,82
C0,218,83
C3,159,84
C1,196,85
C3,209,86
C2,141,87
C4,312,88
C4,119,89
C2,386,90
C4,457,91
C0,100,92
C3,284,93
C3,379,94
C2,433,95
C3,151,96
C0,212,97
C0,64,98
C2,208,99
C3,375,100
C2,492,101
C2,460,102
C2,355,103
C4,157,104
C0,250,105
C3,145,106
C4,216,107
C0,101,108
C4,457,109
C0,380,110
C0,433,111
C3,234,112
C0,413,113
C0,204,114
C1,448,115
C0,334,116
C0,396,117
C0,104,118
C1,369,119
C4,451,120
C2,106,121
C2,58,122
C2,112,123
C4,112,124
C1,475,125
C4,210,126
C0,232,127
C0,256,128
C2,436,129
C3,172,130
C2,411,131
C0,204,132
C0,195,133
C0,489,134
C1,123,135
C2,311,136
C2,154,137
C3,431,138
C2,264,139
C0,319,140
C3,168,141
C0,244,142
C1,169,143
C0,449,144
C4,214,145
C4,306,146
C1,86,147
C3,493,148
C0,121,149
C0,51,150
C4,242,151
C2,194,152
C4,259,153
C4,96,154
C4,416,155
C2,139,156
C1,75,157
C4,238,158
C1,112,159
C2,310,160
C1,272,161
C0,240,162
C4,130,163
C0,472,164
C1,82,165
C4,164,166
C1,432,167
C2,154,168
C3,269,169
C0,205,170
C2,157,171
C4,224,172
C2,345,173
C1,118,174
C2,178,175
C0,69,176
C2,245,177
C1,165,178
C3,78,179
C1,52,180
C4,364,181
C2,179,182
C0,282,183
C3,348,184
C0,338,185
C4,447,186
C0,353,187
C4,366,188
C1,178,189
C3,93,190
C0,136,191
C3,357,192
C0,440,193
C0,357,194
C2,112,195
C3,225,196
C1,485,197
C2,410,198
C3,303,199
C2,186,200
C4,252,201
C2,329,202
C1,68,203
C0,174,204
C1,257,205
C1,226,206
C4,344,207
C1,162,208
C0,52,209
C0,103,210
C2,494,211
C1,320,212
C1,288,213
C4,172,214
C2,441,215
C2,227,216
C0,154,217
C1,236,218
C0,380,219
C4,485,220
C3,234,221
C4,456,222
C4,307,223
C0,334,224
C1,277,225
C1,472,226
C0,381,227
C2,149,228
C0,477,229
C3,387,230
C3,108,231
C1,382,232
C0,452,233
C1,88,234
C4,351,235
C1,141,236
C3,127,237
C2,151,238
C0,385,239
C4,51,240
C4,258,241
C1,196,242
C4,452,243
C2,120,244
C4,434,245
C4,108,246
C2,379,247
C1,275,248
C3,405,249
C0,67,250
C0,299,251
C0,114,252
C1,198,253
C4,200,254
C0,413,255
C1,172,256
C0,420,257
C1,275,258
C1,195,259
C3,483,260
C0,469,261
C4,239,262
C4,346,263
C4,281,264
C3,210,265
C2,173,266
C1,145,267
C1,234,268
C2,61,269
C1,398,270
C4,395,271
C1,416,272
C1,362,273
C0,431,274
C1,405,275
C0,283,276
C4,313,277
C2,239,278
C4,415,279
C0,208,280
C3,175,281
C3,89,282
C3,230,283
C1,276,284
C0,395,285
C2,401,286
C0,128,287
C0,305,288
C1,65,289
C3,159,290
C3,196,291
C0,469,292
C0,276,293
C3,456,294
C0,278,295
C1,224,296
C2,186,297
C0,172,298
C2,379,299
C0,325,300
C3,222,301
C1,176,302
C1,243,303
C2,118,304
C3,392,305
C4,216,306
C2,419,307
C1,86,308
C4,232,309
C4,140,310
C1,226,311
C2,244,312
C4,179,313
C4,113,314
C3,491,315
C1,98,316
C1,180,317
C3,226,318
C3,347,319
C2,315,320
C4,491,321
C1,312,322
C1,140,323
C4,262,324
C1,60,325
C0,240,326
C1,267,327
C1,209,328
C2,450,329
C1,153,330
C1,132,331
C2,203,332
C2,319,333
C3,416,334
C4,436,335
C0,444,336
C4,416,337
C4,393,338
C4,464,339
C3,136,340
C2,65,341
C1,89,342
C1,57,343
C0,259,344
C0,489,345
C3,451,346
C3,66,347
C3,272,348
C1,419,349
C1,495,350
C0,194,351
C4,210,352
C1,356,353
C1,232,354
C0,308,355
C2,154,356
C3,133,357
C1,379,358
C4,243,359
C2,436,360
C1,473,361
C1,252,362
C4,371,363
C4,328,364
C2,102,365
C0,346,366
C2,268,367
C4,251,368
C2,403,369
C3,265,370
C4,165,371
C3,172,372
C4,348,373
C1,139,374
C3,491,375
C1,397,376
C3,232,377
C3,448,378
C2,322,379
C3,268,380
C4,119,381
C4,116,382
C2,85,383
C4,481,384
C3,468,385
C1,235,386
C2,407,387
C2,169,388
C2,85,389
C2,343,390
C1,355,391
C2,398,392
C1,390,393
C1,128,394
C3,188,395
C0,467,396
C1,365,397
C3,141,398
C1,160,399
C2,77,400
C2,385,401
C1,123,402
C4,123,403
C4,66,404
C0,274,405
C3,239,406
C0,219,407
C4,435,408
C1,116,409
C3,136,410
C1,195,411
C3,165,412
C1,219,413
C3,79,414
C3,339,415
C1,440,416
C2,390,417
C3,371,418
C4,437,419
C3,187,420
C0,67,421
C3,448,422
C2,118,423
C0,293,424
C0,224,425
C1,266,426
C2,385,427
C4,435,428
C0,131,429
C0,120,430
C1,131,431
C3,436,432
C2,84,433
C3,105,434
C4,468,435
C0,250,436
C0,231,437
C1,67,438
C2,135,439
C0,237,440
C1,159,441
C3,419,442
C2,422,443
C0,428,444
C1,90,445
C4,203,446
C4,321,447
C3,94,448
C0,170,449
C4,127,450
C1,447,451
C3,76,452
C0,496,453
C4,166,454
C4,433,455
C3,475,456
C2,323,457
C2,344,458
C1,177,459
C1,55,460
C1,274,461
C4,383,462
C0,309,463
C2,114,464
C2,484,465
C0,223,466
C1,64,467
C3,486,468
C2,87,469
C0,479,470
C4,123,471
C2,143,472
C3,350,473
C0,490,474
C1,451,475
C1,392,476
C3,372,477
C4,350,478
C0,349,479
C1,451,480
C4,426,481
C1,411,482
C3,419,483
C1,259,484
C2,173,485
C2,227,486
C0,428,487
C3,404,488
C0,272,489
C2,115,490
C4,377,491
C1,233,492
C1,266,493
C4,278,494
C0,197,495
C0,238,496
C0,223,497
C2,279,498
C0,353,499
C1,106,500
C2,122,501
C2,425,502
C1,149,503
C2,495,504
C4,209,505
C4,56,506
C3,298,507
C1,298,508
C0,430,509
C4,320,510
C2,312,511
C2,483,512
C0,327,513
C3,52,514
C0,306,515
C0,199,516
C0,276,517
C2,219,518
C0,459,519
C1,220,520
C4,286,521
C3,482,522
C2,136,523
C0,453,524
C4,321,525
C1,210,526
C4,396,527
C1,333,528
C3,291,529
C1,388,530
C2,240,531
C3,282,532
C1,50,533
C3,379,534
C1,259,535
C2,429,536
C2,477,537
C4,287,538
C4,86,539
C3,441,540
C2,83,541
C1,201,542
C3,134,543
C1,447,544
C2,383,545
C3,135,546
C0,462,547
C2,99,548
C4,89,549
C4,437,550
C1,400,551
C1,475,552
C1,497,553
C4,390,554
C2,490,555
C4,348,556
C1,415,557
C4,160,558
C4,143,559
C4,103,560
C2,134,561
C3,360,562
C3,122,563
C0,133,564
C3,78,565
C4,92,566
C2,338,567
C2,225,568
C0,473,569
C4,458,570
C4,112,571
C0,337,572
C0,286,573
C2,377,574
C0,180,575
C0,418,576
C0,302,577
C4,110,578
C2,339,579
C4,202,580
C2,408,581
C0,248,582
C3,353,583
C0,100,584
C0,266,585
C2,238,586
C2,70,587
C0,173,588
C4,353,589
C4,52,590
C4,98,591
C1,410,592
C0,281,593
C0,314,594
C4,436,595
C4,379,596
C0,191,597
C3,431,598
C2,208,599
C0,153,600
C3,278,601
C0,53,602
C3,194,603
C0,371,604
C4,484,605
C2,279,606
C4,73,607
C4,328,608
C1,207,609
C2,290,610
C2,406,611
C0,416,612
C0,168,613
C4,438,614
C1,235,615
C1,345,616
C0,258,617
C2,437,618
C4,100,619
C0,366,620
C2,476,621
C2,196,622
C2,230,623
C4,81,624
C0,432,625
C3,140,626
C2,494,627
C2,191,628
C2,305,629
C1,315,630
C1,401,631
